first_name,male,female
BLAIR,0.6153846153846153,0.3846153846153846
BLAKE,0.9729729729729729,0.027027027027027025
BLANCA,0.0,1.0
BLANCH,0.0,1.0
BLANCHE,0.0,1.0
BLONDELL,0.0,1.0
BLOSSOM,0.0,1.0
BLYTHE,0.0,1.0
BO,1.0,0.0
BOB,1.0,0.0
BOBBI,0.0,1.0
BOBBIE,0.13333333333333333,0.8666666666666666
BOBBY,0.9653679653679653,0.03463203463203463
BOBBYE,0.0,1.0
BOBETTE,0.0,1.0
BOK,0.0,1.0
BONG,0.0,1.0
BONITA,0.0,1.0
BONNIE,0.0,1.0
BONNY,0.0,1.0
BOOKER,1.0,0.0
BORIS,1.0,0.0
BOYCE,1.0,0.0
BOYD,1.0,0.0
BRAD,1.0,0.0
BRADFORD,1.0,0.0
BRADLEY,1.0,0.0
BRADLY,1.0,0.0
BRADY,1.0,0.0
BRAIN,1.0,0.0
BRANDA,0.0,1.0
BRANDE,0.0,1.0
BRANDEE,0.0,1.0
BRANDEN,1.0,0.0
BRANDI,0.0,1.0
BRANDIE,0.0,1.0
BRANDON,0.9923664122137404,0.0076335877862595426
BRANDY,0.0,1.0
BRANT,1.0,0.0
BREANA,0.0,1.0
BREANN,0.0,1.0
BREANNA,0.0,1.0
BREANNE,0.0,1.0
BREE,0.0,1.0
BRENDA,0.0,1.0
BRENDAN,1.0,0.0
BRENDON,1.0,0.0
BRENNA,0.0,1.0
BRENT,1.0,0.0
BRENTON,1.0,0.0
BRET,1.0,0.0
BRETT,0.9879518072289156,0.01204819277108434
BRIAN,0.9986431478968792,0.00135685210312076
BRIANA,0.0,1.0
BRIANNA,0.0,1.0
BRIANNE,0.0,1.0
BRICE,1.0,0.0
BRIDGET,0.0,1.0
BRIDGETT,0.0,1.0
BRIDGETTE,0.0,1.0
BRIGETTE,0.0,1.0
BRIGID,0.0,1.0
BRIGIDA,0.0,1.0
BRIGITTE,0.0,1.0
BRINDA,0.0,1.0
BRITANY,0.0,1.0
BRITNEY,0.0,1.0
BRITNI,0.0,1.0
BRITT,0.5714285714285714,0.42857142857142855
BRITTA,0.0,1.0
BRITTANEY,0.0,1.0
BRITTANI,0.0,1.0
BRITTANIE,0.0,1.0
BRITTANY,0.0,1.0
BRITTENY,0.0,1.0
BRITTNEY,0.0,1.0
BRITTNI,0.0,1.0
BRITTNY,0.0,1.0
BROCK,1.0,0.0
BRODERICK,1.0,0.0
BRONWYN,0.0,1.0
BROOK,0.0,1.0
BROOKE,0.0,1.0
BROOKS,1.0,0.0
BRUCE,1.0,0.0
BRUNA,0.0,1.0
BRUNILDA,0.0,1.0
BRUNO,1.0,0.0
BRYAN,1.0,0.0
BRYANNA,0.0,1.0
BRYANT,1.0,0.0
BRYCE,1.0,0.0
BRYNN,0.0,1.0
BRYON,1.0,0.0
BUCK,1.0,0.0
BUD,1.0,0.0
BUDDY,1.0,0.0
BUENA,0.0,1.0
BUFFY,0.0,1.0
BUFORD,1.0,0.0
BULA,0.0,1.0
BULAH,0.0,1.0
BUNNY,0.0,1.0
BURL,1.0,0.0
BURMA,0.0,1.0
BURT,1.0,0.0
BURTON,1.0,0.0
BUSTER,1.0,0.0
BYRON,1.0,0.0
CAITLIN,0.0,1.0
CAITLYN,0.0,1.0
CALANDRA,0.0,1.0
CALEB,1.0,0.0
CALISTA,0.0,1.0
CALLIE,0.0,1.0
CALVIN,1.0,0.0
CAMELIA,0.0,1.0
CAMELLIA,0.0,1.0
CAMERON,0.9249999999999999,0.07499999999999998
CAMI,0.0,1.0
CAMIE,0.0,1.0
CAMILA,0.0,1.0
CAMILLA,0.0,1.0
CAMILLE,0.0,1.0
CAMMIE,0.0,1.0
CAMMY,0.0,1.0
CANDACE,0.0,1.0
CANDANCE,0.0,1.0
CANDELARIA,0.0,1.0
CANDI,0.0,1.0
CANDICE,0.0,1.0
CANDIDA,0.0,1.0
CANDIE,0.0,1.0
CANDIS,0.0,1.0
CANDRA,0.0,1.0
CANDY,0.0,1.0
CANDYCE,0.0,1.0
CAPRICE,0.0,1.0
CARA,0.0,1.0
CAREN,0.0,1.0
CAREY,0.5909090909090909,0.40909090909090906
CARI,0.0,1.0
CARIDAD,0.0,1.0
CARIE,0.0,1.0
CARIN,0.0,1.0
CARINA,0.0,1.0
CARISA,0.0,1.0
CARISSA,0.0,1.0
CARITA,0.0,1.0
CARL,0.9942528735632183,0.005747126436781609
CARLA,0.0,1.0
CARLEE,0.0,1.0
CARLEEN,0.0,1.0
CARLENA,0.0,1.0
CARLENE,0.0,1.0
CARLETTA,0.0,1.0
CARLEY,0.0,1.0
CARLI,0.0,1.0
CARLIE,0.0,1.0
CARLINE,0.0,1.0
CARLITA,0.0,1.0
CARLO,1.0,0.0
CARLOS,0.9956521739130435,0.004347826086956522
CARLOTA,0.0,1.0
CARLOTTA,0.0,1.0
CARLTON,1.0,0.0
CARLY,0.0,1.0
CARLYN,0.0,1.0
CARMA,0.0,1.0
CARMAN,0.0,1.0
CARMEL,0.0,1.0
CARMELA,0.0,1.0
CARMELIA,0.0,1.0
CARMELINA,0.0,1.0
CARMELITA,0.0,1.0
CARMELLA,0.0,1.0
CARMELO,1.0,0.0
CARMEN,0.05339805825242719,0.9466019417475728
CARMINA,0.0,1.0
CARMINE,1.0,0.0
CARMON,0.0,1.0
CAROL,0.010507880910683012,0.989492119089317
CAROLA,0.0,1.0
CAROLANN,0.0,1.0
CAROLE,0.0,1.0
CAROLEE,0.0,1.0
CAROLIN,0.0,1.0
CAROLINA,0.0,1.0
CAROLINE,0.0,1.0
CAROLL,0.0,1.0
CAROLYN,0.0,1.0
CAROLYNE,0.0,1.0
CAROLYNN,0.0,1.0
CARON,0.0,1.0
CAROYLN,0.0,1.0
CARRI,0.0,1.0
CARRIE,0.0,1.0
CARROL,0.4444444444444445,0.5555555555555556
CARROLL,0.8125,0.1875
CARRY,0.0,1.0
CARSON,1.0,0.0
CARTER,1.0,0.0
CARY,0.8260869565217391,0.1739130434782609
CARYL,0.0,1.0
CARYLON,0.0,1.0
CARYN,0.0,1.0
CASANDRA,0.0,1.0
CASEY,0.6506024096385543,0.34939759036144574
CASIE,0.0,1.0
CASIMIRA,0.0,1.0
CASSANDRA,0.0,1.0
CASSAUNDRA,0.0,1.0
CASSEY,0.0,1.0
CASSI,0.0,1.0
CASSIDY,0.0,1.0
CASSIE,0.0,1.0
CASSONDRA,0.0,1.0
CASSY,0.0,1.0
CATALINA,0.0,1.0
CATARINA,0.0,1.0
CATERINA,0.0,1.0
CATHARINE,0.0,1.0
CATHERIN,0.0,1.0
CATHERINA,0.0,1.0
CATHERINE,0.0,1.0
CATHERN,0.0,1.0
CATHERYN,0.0,1.0
CATHEY,0.0,1.0
CATHI,0.0,1.0
CATHIE,0.0,1.0
CATHLEEN,0.0,1.0
CATHRINE,0.0,1.0
CATHRYN,0.0,1.0
CATHY,0.0,1.0
CATINA,0.0,1.0
CATRICE,0.0,1.0
CATRINA,0.0,1.0
CAYLA,0.0,1.0
CECELIA,0.0,1.0
CECIL,0.9397590361445783,0.060240963855421686
CECILA,0.0,1.0
CECILE,0.0,1.0
CECILIA,0.0,1.0
CECILLE,0.0,1.0
CECILY,0.0,1.0
CEDRIC,1.0,0.0
CEDRICK,1.0,0.0
CELENA,0.0,1.0
CELESTA,0.0,1.0
CELESTE,0.0,1.0
CELESTINA,0.0,1.0
CELESTINE,0.0,1.0
CELIA,0.0,1.0
CELINA,0.0,1.0
CELINDA,0.0,1.0
CELINE,0.0,1.0
CELSA,0.0,1.0
CEOLA,0.0,1.0
CESAR,1.0,0.0
CHAD,1.0,0.0
CHADWICK,1.0,0.0
CHAE,0.0,1.0
CHAN,0.0,1.0
CHANA,0.0,1.0
CHANCE,1.0,0.0
CHANDA,0.0,1.0
CHANDRA,0.0,1.0
CHANEL,0.0,1.0
CHANELL,0.0,1.0
CHANELLE,0.0,1.0
CHANG,0.8333333333333334,0.16666666666666669
CHANTAL,0.0,1.0
CHANTAY,0.0,1.0
CHANTE,0.0,1.0
CHANTEL,0.0,1.0
CHANTELL,0.0,1.0
CHANTELLE,0.0,1.0
CHARA,0.0,1.0
CHARIS,0.0,1.0
CHARISE,0.0,1.0
CHARISSA,0.0,1.0
CHARISSE,0.0,1.0
CHARITA,0.0,1.0
CHARITY,0.0,1.0
CHARLA,0.0,1.0
CHARLEEN,0.0,1.0
CHARLENA,0.0,1.0
CHARLENE,0.0,1.0
CHARLES,0.9960758665794638,0.003924133420536298
CHARLESETTA,0.0,1.0
CHARLETTE,0.0,1.0
CHARLEY,1.0,0.0
CHARLIE,0.9375,0.0625
CHARLINE,0.0,1.0
CHARLOTT,0.0,1.0
CHARLOTTE,0.0,1.0
CHARLSIE,0.0,1.0
CHARLYN,0.0,1.0
CHARMAIN,0.0,1.0
CHARMAINE,0.0,1.0
CHAROLETTE,0.0,1.0
CHAS,1.0,0.0
CHASE,1.0,0.0
CHASIDY,0.0,1.0
CHASITY,0.0,1.0
CHASSIDY,0.0,1.0
CHASTITY,0.0,1.0
CHAU,0.0,1.0
CHAUNCEY,1.0,0.0
CHAYA,0.0,1.0
